Child Index,Position X,Position Y,Position Z
Cube,9.662971,0,8.368162
1,10.10042,0.5607573,7.874011
2,10.16309,0.4979667,8.870068
3,9.104119,0.4980906,7.932742
4,9.166785,0.4353001,8.9288
5,9.225517,-0.5607573,8.862314
6,9.16285,-0.4979667,7.866257
7,10.22182,-0.4980906,8.803582
8,10.15916,-0.4353001,7.807525
Cube,9.671228,-0.006152472,8.46763
1,10.04316,0.6108357,7.987017
2,10.17171,0.4896769,8.971292
3,9.057901,0.4822932,8.099865
4,9.186444,0.3611344,9.084141
5,9.299293,-0.6231406,8.948244
6,9.170751,-0.5019818,7.963969
7,10.28456,-0.4945982,8.835396
8,10.15601,-0.3734394,7.85112
Cube,10.44044,-0.1214775,9.941668
1,10.5966,0.6272255,10.34794
2,11.1531,-0.199811,10.42746
3,9.766659,0.07836684,10.44771
4,10.32316,-0.7486696,10.52722
5,10.28429,-0.8701805,9.535393
6,9.727792,-0.043144,9.455878
7,11.11423,-0.3213218,9.435628
8,10.55773,0.5057147,9.356113
Cube,10.55974,-0.2027484,9.946949
1,10.65138,0.4970779,10.44879
2,11.27469,-0.2846377,10.42875
3,9.869808,-0.1265313,10.46481
4,10.49312,-0.9082469,10.44478
5,10.4681,-0.9025747,9.445107
6,9.844788,-0.1208591,9.465143
7,11.24967,-0.2789655,9.429084
8,10.62636,0.5027502,9.44912
Cube,10.60654,-0.2285997,9.945631
1,10.67383,0.4487956,10.48099
2,11.32184,-0.3109077,10.42685
3,9.912493,-0.1993094,10.46278
4,10.5605,-0.9590127,10.40864
5,10.53925,-0.905995,9.410273
6,9.891241,-0.1462917,9.464411
7,11.30059,-0.25789,9.428484
8,10.65257,0.5018132,9.482621
Cube,10.63279,-0.2417857,9.944372
1,10.68674,0.4222818,10.49764
2,11.3482,-0.324211,10.42541
3,9.937016,-0.2384006,10.46001
4,10.59848,-0.9848934,10.38778
5,10.57885,-0.9058533,9.391106
6,9.917385,-0.1593604,9.463333
7,11.32857,-0.2451709,9.428733
8,10.66711,0.5013219,9.500961
Cube,10.6602,-0.2547069,9.942808
1,10.70059,0.3948742,10.51413
2,11.37572,-0.3372497,10.42365
3,9.963124,-0.2780216,10.45617
4,10.63826,-1.010146,10.36569
5,10.61981,-0.9042882,9.371483
6,9.944673,-0.1721642,9.461965
7,11.35727,-0.2313923,9.429441
8,10.68214,0.5007317,9.519923
Cube,10.68914,-0.2674448,9.940915
1,10.71562,0.3662312,10.53062
2,11.40479,-0.3501073,10.42154
3,9.991241,-0.3185746,10.45114
4,10.68042,-1.034913,10.34206
5,10.66265,-0.9011208,9.351209
6,9.973481,-0.1847823,9.460288
7,11.38703,-0.2163151,9.430692
8,10.69786,0.5000235,9.539771
Cube,10.7168,-0.2787492,9.938892
1,10.73035,0.3391713,10.54552
2,11.43258,-0.3615112,10.41932
3,10.01861,-0.3561035,10.4454
4,10.72084,-1.056786,10.31921
5,10.70325,-0.8966697,9.33227
6,10.00102,-0.1959872,9.458461
7,11.41499,-0.2013949,9.432383
8,10.71276,0.4992876,9.558573
Cube,10.74869,-0.2908005,9.936369
1,10.74782,0.3083115,10.56172
2,11.46462,-0.3736816,10.41654
3,10.05078,-0.3979325,10.43781
4,10.76758,-1.079926,10.29263
5,10.74956,-0.8899125,9.311018
6,10.03275,-0.2079194,9.456196
7,11.4466,-0.1836686,9.434926
8,10.72979,0.4983246,9.580104
Cube,10.77991,-0.3015644,9.933712
1,10.76537,0.2784981,10.57661
2,11.496,-0.3845469,10.41364
3,10.08286,-0.4373895,10.42937
4,10.81348,-1.100434,10.2664
5,10.79444,-0.8816268,9.290815
6,10.06382,-0.2185819,9.453784
7,11.47696,-0.1657393,9.438057
8,10.74633,0.4973056,9.601027
Cube,10.80832,-0.3104729,9.93116
1,10.78171,0.2517341,10.58935
2,11.52454,-0.3935297,10.41089
3,10.11254,-0.4720116,10.42084
4,10.85536,-1.117275,10.24238
5,10.83493,-0.8726798,9.272968
6,10.0921,-0.227416,9.451434
7,11.5041,-0.1489341,9.441476
8,10.76128,0.4963297,9.619941
Cube,10.84035,-0.319582,9.928186
1,10.80061,0.2219192,10.60287
2,11.55673,-0.4027219,10.40766
3,10.14657,-0.5096438,10.41041
4,10.90269,-1.134285,10.2152
5,10.8801,-0.8610833,9.253504
6,10.12398,-0.2364422,9.448714
7,11.53414,-0.1295203,9.445967
8,10.77802,0.4951208,9.641177
Cube,10.86734,-0.32644,9.925605
1,10.81685,0.1971678,10.61356
2,11.58383,-0.4096309,10.4049
3,10.17566,-0.5401536,10.4009
4,10.94263,-1.146952,10.19223
5,10.91782,-0.8500478,9.237647
6,10.15085,-0.2432491,9.446312
7,11.55902,-0.1127264,9.450313
8,10.79204,0.4940724,9.658978
Cube,10.93174,-0.3406388,9.919515
1,10.85761,0.1386943,10.63697
2,11.64888,-0.4240552,10.39779
3,10.247,-0.609236,10.37667
4,11.03827,-1.171986,10.13749
5,11.00587,-0.8199718,9.202058
6,10.2146,-0.2572223,9.441235
7,11.61648,-0.07204151,9.462361
8,10.82521,0.490708,9.701538
Cube,10.97003,-0.3469963,9.915796
1,10.88245,0.1050042,10.6493
2,11.6874,-0.4304672,10.39372
3,10.29031,-0.6473116,10.36052
4,11.09526,-1.182783,10.10495
5,11.05762,-0.7989967,9.182295
6,10.25266,-0.2635254,9.437869
7,11.64976,-0.04668096,9.471068
8,10.8448,0.4887904,9.726644
Cube,11.00067,-0.3510654,9.912854
1,10.90272,0.07854882,10.6584
2,11.71819,-0.4345605,10.39056
3,10.32546,-0.6762407,10.34685
4,11.14092,-1.18935,10.07901
5,11.09862,-0.7806796,9.167309
6,10.28315,-0.2675702,9.435151
7,11.67588,-0.02589008,9.478856
8,10.86042,0.4872192,9.746698
Cube,11.03322,-0.3544867,9.90981
1,10.92474,0.05086985,10.66738
2,11.7509,-0.4379989,10.38726
3,10.36333,-0.705542,10.33173
4,11.18949,-1.194411,10.05161
5,11.14169,-0.7598433,9.152236
6,10.31554,-0.2709746,9.432359
7,11.7031,-0.003431529,9.487891
8,10.87694,0.4854372,9.768014
Cube,11.0682,-0.3571478,9.906665
1,10.94895,0.02161184,10.67629
2,11.78607,-0.4406666,10.38383
3,10.40463,-0.7353998,10.31484
4,11.24175,-1.197678,10.02238
5,11.18744,-0.7359074,9.13704
6,10.35032,-0.2736291,9.429502
7,11.73176,0.02110416,9.498492
8,10.89465,0.4833826,9.790954
Cube,11.09965,-0.3586081,9.903974
1,10.97116,-0.004222244,10.68365
2,11.81768,-0.4421223,10.3809
3,10.44226,-0.7607692,10.29908
4,11.28878,-1.198669,9.996326
5,11.22814,-0.712994,9.124293
6,10.38162,-0.2750939,9.427043
7,11.75704,0.04355302,9.508871
8,10.91053,0.4814531,9.811621
Cube,11.12812,-0.3591793,9.901676
1,10.99163,-0.02721712,10.68982
2,11.84627,-0.4426822,10.37842
3,10.47672,-0.7825264,10.28438
4,11.33137,-1.197991,9.972978
5,11.26461,-0.6911416,9.113532
6,10.40997,-0.2756765,9.424934
7,11.77951,0.06416765,9.518972
8,10.92487,0.4796328,9.830375
Cube,11.16508,-0.3589767,9.898925
1,11.01884,-0.05659643,10.69716
2,11.88345,-0.4424472,10.37535
3,10.52209,-0.8091526,10.26484
4,11.3867,-1.195003,9.943033
5,11.31133,-0.6613569,9.100691
6,10.44672,-0.2755062,9.4225
7,11.80808,0.09119925,9.533008
8,10.94347,0.47705,9.854816
Cube,11.20136,-0.3576623,9.896512
1,11.04614,-0.08483008,10.70365
2,11.91993,-0.4410869,10.37263
3,10.56723,-0.8334236,10.24512
4,11.44102,-1.18968,9.914105
5,11.35658,-0.6304945,9.089375
6,10.48279,-0.2742377,9.42039
7,11.83549,0.118099,9.547903
8,10.9617,0.4743558,9.878919
Cube,11.24343,-0.3548372,9.89412
1,11.07865,-0.1168668,10.71034
2,11.96228,-0.4381792,10.36984
3,10.62038,-0.8593138,10.2217
4,11.50402,-1.180626,9.881201
5,11.40822,-0.5928077,9.0779
6,10.52458,-0.2714952,9.418403
7,11.86648,0.1496395,9.566537
8,10.98285,0.4709519,9.90704
Cube,11.27571,-0.3516138,9.89263
1,11.10406,-0.1408539,10.71489
2,11.99473,-0.4348953,10.36811
3,10.66169,-0.8774283,10.20327
4,11.55235,-1.17147,9.856483
5,11.44736,-0.5623736,9.070366
6,10.5567,-0.2683322,9.41715
7,11.88973,0.1742008,9.581993
8,10.99907,0.4682422,9.928777
Cube,11.30851,-0.3474797,9.891453
1,11.1304,-0.1647355,10.71903
2,12.02769,-0.4306878,10.36669
3,10.70416,-0.8943254,10.18423
4,11.60144,-1.160278,9.83189
5,11.48661,-0.5302238,9.063876
6,10.58932,-0.2642715,9.416216
7,11.91286,0.1993661,9.598676
8,11.01557,0.4653184,9.951015
Cube,11.34305,-0.342207,9.890614
1,11.15873,-0.1893504,10.72288
2,12.06242,-0.4253213,10.36558
3,10.74943,-0.9104745,10.1639
4,11.65312,-1.146445,9.806608
5,11.52737,-0.4950637,9.058351
6,10.62368,-0.2590928,9.415645
7,11.93667,0.2260605,9.617325
8,11.03298,0.4620313,9.974619
Cube,11.37221,-0.3369789,9.890265
1,11.18306,-0.2096727,10.72574
2,12.09172,-0.4200173,10.36504
3,10.78806,-0.9227391,10.1465
4,11.69672,-1.133084,9.785808
5,11.56136,-0.4642851,9.05479
6,10.6527,-0.2539404,9.415486
7,11.95636,0.2487814,9.634026
8,11.0477,0.459126,9.994721
Cube,11.40103,-0.3311473,9.890263
1,11.20753,-0.2293598,10.72823
2,12.12067,-0.4141038,10.36486
3,10.82664,-0.9336466,10.12915
4,11.73978,-1.118391,9.765771
5,11.59453,-0.4329347,9.052291
6,10.68139,-0.2481907,9.415669
7,11.97542,0.2713521,9.651376
8,11.06228,0.4560961,10.01475
Cube,11.43564,-0.3233283,9.890728
1,11.23753,-0.2524832,10.73081
2,12.15547,-0.406154,10.36506
3,10.87349,-0.9451751,10.10819
4,11.79143,-1.098846,9.742439
5,11.63375,-0.3941733,9.050649
6,10.71582,-0.2405025,9.4164
7,11.9978,0.2985185,9.673265
8,11.07986,0.4521893,10.03902
Cube,11.49832,-0.3072039,9.892867
1,11.29397,-0.2929322,10.73432
2,12.21877,-0.3895366,10.36633
3,10.95988,-0.9618781,10.07032
4,11.88468,-1.058483,9.702333
5,11.70267,-0.3214756,9.051417
6,10.77787,-0.2248712,9.419399
7,12.03676,0.3474703,9.715419
8,11.11195,0.4440747,10.0834
Cube,11.52559,-0.2990052,9.894524
1,11.31893,-0.3098564,10.73546
2,12.24616,-0.3812318,10.36783
3,10.99797,-0.9670837,10.05353
4,11.9252,-1.038459,9.685897
5,11.73225,-0.2881539,9.053587
6,10.80502,-0.2167785,9.421217
7,12.05322,0.3690734,9.73552
8,11.12599,0.4404488,10.10315
Cube,11.55921,-0.2881614,9.897134
1,11.35034,-0.3301904,10.73654
2,12.27996,-0.3702143,10.3702
3,11.04541,-0.9719607,10.03288
4,11.97502,-1.011984,9.66653
5,11.76808,-0.2461323,9.057724
6,10.83846,-0.2061085,9.424072
7,12.07301,0.3956379,9.761391
8,11.14339,0.4356617,10.12774
Cube,11.59269,-0.2764966,9.900426
1,11.38228,-0.3498458,10.73729
2,12.31362,-0.358362,10.37325
3,11.09319,-0.9750477,10.01234
4,12.02453,-0.9835639,9.648297
5,11.8031,-0.2031474,9.063559
6,10.87176,-0.1946312,9.427605
7,12.09219,0.4220545,9.788507
8,11.16085,0.4305707,10.15255
Cube,11.62212,-0.2655081,9.903948
1,11.41087,-0.3666178,10.7377
2,12.34319,-0.3472172,10.37658
3,11.13562,-0.9762477,9.99434
4,12.06794,-0.9568471,9.63322
5,11.83337,-0.1643983,9.070191
6,10.90105,-0.1837989,9.431312
7,12.10862,0.4452315,9.813556
8,11.1763,0.4258309,10.17468
Cube,11.65729,-0.2515613,9.908927
1,11.4458,-0.3860264,10.7379
2,12.37855,-0.3330303,10.3813
3,11.18689,-0.9758694,9.97301
4,12.11965,-0.9228734,9.616414
5,11.86878,-0.1170962,9.079957
6,10.93602,-0.1700922,9.436552
7,12.12768,0.4727469,9.844844
8,11.19493,0.4197508,10.20144
Cube,11.68783,-0.2386527,9.914031
1,11.47674,-0.4023165,10.73784
2,12.40925,-0.3199266,10.38621
3,11.2319,-0.9738272,9.954618
4,12.16441,-0.8914373,9.602992
5,11.89893,-0.07498893,9.090226
6,10.96642,-0.1573789,9.441852
7,12.14376,0.4965217,9.873445
8,11.21125,0.4141318,10.22507
Cube,11.71419,-0.2269261,9.919059
1,11.5039,-0.4159374,10.73763
2,12.43571,-0.3080449,10.39109
3,11.2711,-0.9707543,9.93889
4,12.20291,-0.8628618,9.592358
5,11.92447,-0.0379148,9.10049
6,10.99266,-0.1458073,9.447023
7,12.15727,0.5169021,9.899227
8,11.22546,0.4090096,10.24576
Cube,11.74186,-0.2140615,9.924971
1,11.53294,-0.4297935,10.73726
2,12.46351,-0.2949991,10.39685
3,11.31263,-0.9662303,9.922585
4,12.2432,-0.8314359,9.582172
5,11.95077,0.001670435,9.11268
6,11.02021,-0.133124,9.453093
7,12.17109,0.5381072,9.927357
8,11.24052,0.4033127,10.26777
Cube,11.76803,-0.2013596,9.931208
1,11.5609,-0.4424727,10.73679
2,12.48979,-0.282125,10.40295
3,11.35227,-0.960682,9.907373
4,12.28116,-0.8003343,9.573531
5,11.97516,0.03975356,9.125626
6,11.04627,-0.1205941,9.459468
7,12.1838,0.5579629,9.955042
8,11.25491,0.3976152,10.28888
Cube,11.7961,-0.1871878,9.938613
1,11.59146,-0.4555901,10.73616
2,12.51799,-0.2677437,10.41019
3,11.39516,-0.9533566,9.891355
4,12.32169,-0.7655102,9.565389
5,12.00074,0.08121458,9.141066
6,11.07421,-0.1066318,9.467031
7,12.19704,0.578981,9.985871
8,11.27051,0.3911346,10.31184
Cube,11.82195,-0.1736101,9.946154
1,11.62011,-0.4672297,10.73549
2,12.54395,-0.2539774,10.4176
3,11.43502,-0.9452891,9.876883
4,12.35886,-0.7320368,9.558998
5,12.02379,0.1200095,9.15682
6,11.09996,-0.09324279,9.474704
7,12.20888,0.5980688,10.01542
8,11.28504,0.3848166,10.33331
Cube,11.84724,-0.1598565,9.954226
1,11.64864,-0.4781905,10.73475
2,12.56933,-0.2400332,10.42555
3,11.47435,-0.936155,9.863037
4,12.39504,-0.6979977,9.553835
5,12.04583,0.1584775,9.173699
6,11.12514,-0.07967982,9.482902
7,12.22012,0.6164418,10.04542
8,11.29943,0.3782846,10.35462
Cube,11.87469,-0.1444159,9.963796
1,11.68023,-0.4895941,10.73388
2,12.59691,-0.2243552,10.43498
3,11.51743,-0.924834,9.848411
4,12.43411,-0.6595951,9.549503
5,12.06915,0.2007623,9.193707
6,11.15247,-0.06447659,9.492614
7,12.23195,0.6360022,10.07918
8,11.31527,0.3707633,10.37809
Cube,11.89941,-0.1300376,9.973207
1,11.7092,-0.4994225,10.73306
2,12.62172,-0.209773,10.44427
3,11.55656,-0.913317,9.83562
4,12.46909,-0.6236674,9.546836
5,12.08962,0.2393472,9.213355
6,11.1771,-0.0503023,9.502139
7,12.24226,0.6532416,10.11079
8,11.32973,0.3635921,10.39958
Cube,11.92284,-0.116008,9.982852
1,11.73714,-0.5083387,10.73225
2,12.64524,-0.1955505,10.45382
3,11.59396,-0.901223,9.823875
4,12.50206,-0.5884348,9.545446
5,12.10854,0.2763228,9.233457
6,11.20044,-0.03646549,9.511885
7,12.25172,0.669207,10.14183
8,11.34363,0.3564188,10.42026
Cube,11.94969,-0.09948415,9.994782
1,11.76982,-0.5180419,10.7313
2,12.67221,-0.1787594,10.46562
3,11.63719,-0.8859594,9.810947
4,12.53957,-0.546677,9.545271
5,12.12957,0.3190736,9.258267
6,11.22718,-0.0202089,9.523944
7,12.2622,0.6869912,10.17862
8,11.35981,0.3477087,10.44429
Cube,11.97711,-0.0821142,10.00801
1,11.8039,-0.5273753,10.73033
2,12.69974,-0.1610941,10.47872
3,11.68173,-0.8687547,9.798379
4,12.57757,-0.5024735,9.546772
5,12.15032,0.3631469,9.285698
6,11.25448,-0.003134355,9.537305
7,12.27249,0.7045263,10.21765
8,11.37665,0.338245,10.46926
Cube,11.99963,-0.06744802,10.01978
1,11.83243,-0.5346227,10.72956
2,12.72234,-0.1462166,10.4904
3,11.71863,-0.853307,9.788555
4,12.60855,-0.464901,9.549398
5,12.16684,0.3997266,9.309997
6,11.27693,0.01132059,9.549153
7,12.28064,0.718411,10.251
8,11.39072,0.330005,10.49016
Cube,12.02198,-0.05258173,10.03225
1,11.86125,-0.5414028,10.72883
2,12.74476,-0.131132,10.5028
3,11.75552,-0.8368212,9.77933
4,12.63903,-0.4265504,9.553297
5,12.1827,0.4362394,9.335671
6,11.29919,0.02596855,9.561705
7,12.28843,0.7316577,10.28517
8,11.40493,0.3213869,10.5112
Cube,12.04364,-0.03786538,10.04516
1,11.88972,-0.547581,10.72817
2,12.7665,-0.1161998,10.51563
3,11.79156,-0.8196871,9.770918
4,12.66834,-0.388306,9.558386
5,12.19757,0.4718502,9.362153
6,11.32079,0.04046907,9.574686
7,12.29573,0.7439563,10.3194
8,11.41895,0.3125753,10.53193
Cube,12.06846,-0.02068142,10.06094
1,11.92301,-0.5541318,10.72748
2,12.79141,-0.09871773,10.53133
3,11.83317,-0.7986796,9.762012
4,12.70158,-0.3432656,9.565858
5,12.21392,0.5127689,9.394403
6,11.34552,0.05735489,9.590556
7,12.30375,0.7573168,10.35987
8,11.43535,0.3019027,10.55602
Cube,12.09241,-0.003765373,10.07728
1,11.95581,-0.5599287,10.72692
2,12.81544,-0.08150795,10.54759
3,11.87366,-0.7769213,9.754205
4,12.73329,-0.2985005,9.574879
5,12.22901,0.552398,9.427649
6,11.36939,0.0739772,9.606975
7,12.31116,0.7693906,10.40036
8,11.45154,0.2909698,10.57969
Cube,12.12299,0.01823913,10.09972
1,11.9988,-0.5664679,10.72637
2,12.84615,-0.05899508,10.56991
3,11.92585,-0.747058,9.745523
4,12.77319,-0.2395851,9.589064
5,12.24718,0.6029462,9.473065
6,11.39984,0.09547333,9.629525
7,12.32014,0.7835363,10.45391
8,11.47279,0.2760634,10.61037
Cube,12.14788,0.03650853,10.11955
1,12.03467,-0.571153,10.72612
2,12.87112,-0.04036471,10.58967
3,11.96871,-0.7208053,9.739583
4,12.80516,-0.190017,9.603138
5,12.2611,0.64417,9.512973
6,11.42465,0.1133818,9.649418
7,12.32706,0.7938224,10.49951
8,11.49061,0.2630341,10.63595
Cube,12.16627,0.05019074,10.13518
1,12.06169,-0.574251,10.72606
2,12.88955,-0.0264743,10.60528
3,12.00059,-0.7002295,9.735909
4,12.82845,-0.1524528,9.615129
5,12.27085,0.6746325,9.544306
6,11.44299,0.1268558,9.665087
7,12.33195,0.800611,10.53446
8,11.50409,0.2528343,10.65524
Cube,12.18531,0.0644859,10.15224
1,12.09019,-0.5770724,10.72613
2,12.90863,-0.01194555,10.6223
3,12.0338,-0.6779019,9.732827
4,12.85224,-0.112775,9.628999
5,12.28043,0.7060443,9.578342
6,11.46198,0.1409174,9.682171
7,12.33682,0.8068737,10.57165
8,11.51837,0.2417468,10.67548
Cube,12.2083,0.08188668,10.17401
1,12.12536,-0.5798982,10.72643
2,12.93168,0.005813092,10.64405
3,12.07417,-0.6495603,9.730172
4,12.88049,-0.06384903,9.64779
5,12.29124,0.7436715,9.621599
6,11.48491,0.1579603,9.703981
7,12.34242,0.8133336,10.61786
8,11.5361,0.2276224,10.70024
Cube,12.22924,0.09785317,10.19514
1,12.15812,-0.581958,10.72692
2,12.95267,0.02209382,10.66515
3,12.1112,-0.6223102,9.72884
4,12.90574,-0.01825841,9.667065
5,12.30036,0.7776644,9.663347
6,11.50581,0.1736125,9.725122
7,12.34728,0.8180166,10.66143
8,11.55273,0.2139647,10.72321
Cube,12.2474,0.1117598,10.21452
1,12.18712,-0.5833426,10.72755
2,12.97086,0.03624921,10.68452
3,12.14349,-0.5975257,9.728601
4,12.92724,0.02206616,9.685577
5,12.30769,0.8068623,9.70149
6,11.52394,0.1872704,9.744514
7,12.35131,0.8210453,10.70044
8,11.56757,0.2014535,10.74346
Cube,12.26688,0.1266917,10.2364
1,12.21886,-0.5843517,10.72845
2,12.99037,0.05148113,10.70641
3,12.17831,-0.5697871,9.72938
4,12.94982,0.06604567,9.707335
5,12.3149,0.8377351,9.744354
6,11.54339,0.2019022,9.766399
7,12.35545,0.8231705,10.74343
8,11.58394,0.1873377,10.76547
Cube,12.28625,0.1415284,10.25938
1,12.25112,-0.584864,10.72961
2,13.00977,0.06663014,10.72939
3,12.21312,-0.5409553,9.7313
4,12.97177,0.1105389,9.731078
5,12.32139,0.8679209,9.789145
6,11.56273,0.2164267,9.789368
7,12.35938,0.8240122,10.78746
8,11.60073,0.172518,10.78768
